"P1_nonsyn" "P2_nonsyn" "P1_syn" "P2_syn" "D_nonsyn" "D_syn" "neutrality.index" "alpha" "fisher.P.value"
"226" 0 0 0 0 0 0 NA NA NA
"227" NA NA NA NA NA NA NA NA NA
"228" NA NA NA NA NA NA NA NA NA
"229" NA NA NA NA NA NA NA NA NA
"230" 1 3 0 1 0 0 NA NA NA
"231" 0 13 0 4 0 0 NA NA NA
"232" 0 4 0 1 0 0 NA NA NA
"233" NA NA NA NA NA NA NA NA NA
"234" 0 2 0 0 0 0 NA NA NA
"235" NA NA NA NA NA NA NA NA NA
"236" NA NA NA NA NA NA NA NA NA
"237" NA NA NA NA NA NA NA NA NA
"238" NA NA NA NA NA NA NA NA NA
"239" 0 3 0 1 0 0 NA NA NA
"240" NA NA NA NA NA NA NA NA NA
"241" 143 297 84 145 0 0 NA NA NA
"242" 80 173 48 98 0 0 NA NA NA
"243" 5 18 3 6 0 0 NA NA NA
"244" 5 37 2 16 0 0 NA NA NA
"245" 6 18 2 8 0 0 NA NA NA
"246" NA NA NA NA NA NA NA NA NA
"247" NA NA NA NA NA NA NA NA NA
"248" NA NA NA NA NA NA NA NA NA
"249" NA NA NA NA NA NA NA NA NA
"250" NA NA NA NA NA NA NA NA NA
"251" 0 0 0 0 0 0 NA NA NA
"252" NA NA NA NA NA NA NA NA NA
"253" NA NA NA NA NA NA NA NA NA
"254" 0 0 0 0 0 0 NA NA NA
"255" 0 0 0 0 0 0 NA NA NA
"256" NA NA NA NA NA NA NA NA NA
"257" NA NA NA NA NA NA NA NA NA
"258" NA NA NA NA NA NA NA NA NA
"259" 0 0 0 0 0 0 NA NA NA
"260" 0 0 0 0 0 0 NA NA NA
"261" 0 0 0 0 0 0 NA NA NA
"262" NA NA NA NA NA NA NA NA NA
"263" NA NA NA NA NA NA NA NA NA
"264" NA NA NA NA NA NA NA NA NA
"265" NA NA NA NA NA NA NA NA NA
"266" NA NA NA NA NA NA NA NA NA
"267" NA NA NA NA NA NA NA NA NA
"268" NA NA NA NA NA NA NA NA NA
"269" NA NA NA NA NA NA NA NA NA
"270" NA NA NA NA NA NA NA NA NA
"271" NA NA NA NA NA NA NA NA NA
"272" NA NA NA NA NA NA NA NA NA
"273" NA NA NA NA NA NA NA NA NA
"274" NA NA NA NA NA NA NA NA NA
"275" NA NA NA NA NA NA NA NA NA
"276" 0 0 0 0 0 0 NA NA NA
"277" 0 0 0 0 0 0 NA NA NA
"278" 0 0 0 0 0 0 NA NA NA
"279" 0 0 0 0 0 0 NA NA NA
"280" 0 0 0 0 0 0 NA NA NA
